zone,time_6h,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_temperature_0_to_7cm,et0_fao_evapotranspiration,precip_lag_6h,precip_lag_12h,precip_lag_24h,precip_lag_48h,temp_lag_24h,precip_roll_sum_24h,precip_roll_sum_48h,precip_roll_sum_72h,precip_roll_max_24h,humidity_roll_max_24h,et0_roll_sum_24h,api_7d,soil_saturation_index,soil_moisture_change_6h,soil_moisture_deficit,frozen_ground_flag,temp_trend_24h,et_deficit_6h,et_deficit_24h,humidity_precip_product,highland_precip_24h,zone_cascade_risk,hour_sin,hour_cos,doy_sin,doy_cos,is_winter,dq_score,is_flood,risk_score,flood_pred,risk_level
Low Relief,2026-05-13 00:00:00,17.53333333333333,86.66666666666667,0.0,16.75,0.06933333333333334,0.23899999999999996,17.433333333333334,0.08,0.0,0.0,0.0,0.0,18.166666666666668,0.0,0.0,0.0,0.0,86.66666666666667,3.96,0.0,0.15416666666666665,0.0028333333333333405,0.2958333333333334,0,-0.6333333333333364,-0.08,-3.96,0.0,0.0,0.0,0.0,1.0,0.7526668275320084,-0.6584015846980488,0,1.0,0,0.0009756097570061684,0,LOW
Low Relief,2026-05-13 06:00:00,21.083333333333332,69.0,0.0,17.766666666666666,0.0705,0.2383333333333333,20.1,1.27,0.0,0.0,0.0,0.0,20.3,0.0,0.0,0.0,0.0,86.66666666666667,4.109999999999999,0.0,0.15441666666666665,0.0011666666666666492,0.29558333333333336,0,0.7833333333333314,-1.27,-4.109999999999999,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.7526668275320084,-0.6584015846980488,0,1.0,0,0.0,0,LOW
Low Relief,2026-05-13 12:00:00,23.983333333333334,63.333333333333336,0.0,9.899999999999999,0.06266666666666666,0.2373333333333333,27.86666666666667,2.69,0.0,0.0,0.0,0.0,22.099999999999998,0.0,0.0,0.0,0.0,86.66666666666667,4.54,0.0,0.15,-0.007833333333333331,0.30000000000000004,0,1.8833333333333364,-2.69,-4.54,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0.7526668275320084,-0.6584015846980488,0,1.0,0,0.0,0,LOW
Low Relief,2026-05-13 18:00:00,21.599999999999998,77.66666666666667,0.0,8.666666666666668,0.06033333333333333,0.23616666666666666,23.95,0.39,0.0,0.0,0.0,0.0,19.416666666666668,0.0,0.0,0.0,0.0,86.66666666666667,4.43,0.0,0.14825,-0.002333333333333333,0.30175,0,2.18333333333333,-0.39,-4.43,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,0.7526668275320084,-0.6584015846980488,0,1.0,0,0.0,0,LOW
Low Relief,2026-05-14 00:00:00,19.53333333333333,83.16666666666667,0.0,8.283333333333333,0.0625,0.236,18.833333333333336,0.04,0.0,0.0,0.0,0.0,17.53333333333333,0.0,0.0,0.0,0.0,83.16666666666667,4.39,0.0,0.14925,0.002166666666666671,0.30075,0,2.0,-0.04,-4.39,0.0,0.0,0.0,0.0,1.0,0.741222010848596,-0.6712599575675313,0,1.0,0,0.0,0,LOW
Low Relief,2026-05-14 06:00:00,22.45,64.16666666666667,0.0,16.816666666666666,0.06283333333333334,0.2353333333333333,21.900000000000002,1.48,0.0,0.0,0.0,0.0,21.083333333333332,0.0,0.0,0.0,0.0,83.16666666666667,4.6,0.0,0.14908333333333332,0.00033333333333333826,0.3009166666666667,0,1.3666666666666671,-1.48,-4.6,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.741222010848596,-0.6712599575675313,0,1.0,0,0.0,0,LOW
Low Relief,2026-05-14 12:00:00,22.51666666666667,61.666666666666664,0.0,24.950000000000003,0.059166666666666666,0.23416666666666666,27.483333333333334,2.6999999999999997,0.0,0.0,0.0,0.0,23.983333333333334,0.0,0.0,0.0,0.0,83.16666666666667,4.609999999999999,0.0,0.14666666666666667,-0.0036666666666666722,0.30333333333333334,0,-1.466666666666665,-2.6999999999999997,-4.609999999999999,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0.741222010848596,-0.6712599575675313,0,1.0,0,0.0,0,LOW
Low Relief,2026-05-14 18:00:00,18.783333333333335,83.16666666666667,0.0,22.2,0.0585,0.234,22.46666666666667,0.43,0.0,0.0,0.0,0.0,21.599999999999998,0.0,0.0,0.0,0.0,83.16666666666667,4.6499999999999995,0.0,0.14625000000000002,-0.0006666666666666626,0.30374999999999996,0,-2.816666666666663,-0.43,-4.6499999999999995,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,0.741222010848596,-0.6712599575675313,0,1.0,0,0.0,0,LOW
Low Relief,2026-05-15 00:00:00,17.400000000000002,92.5,0.0,15.450000000000001,0.0605,0.23333333333333336,17.983333333333334,0.01,0.0,0.0,0.0,0.0,19.53333333333333,0.0,0.0,0.0,0.0,92.5,4.619999999999999,0.0,0.1469166666666667,0.001999999999999995,0.3030833333333333,0,-2.1333333333333293,-0.01,-4.619999999999999,0.0,0.0,0.0,0.0,1.0,0.7295575540864875,-0.6839194216246106,0,1.0,0,0.0009756097570061684,0,LOW
Low Relief,2026-05-15 06:00:00,20.78333333333333,73.66666666666667,0.0,7.166666666666667,0.06183333333333333,0.233,20.366666666666667,0.9,0.0,0.0,0.0,0.0,22.45,0.0,0.0,0.0,0.0,92.5,4.04,0.0,0.14741666666666667,0.0013333333333333322,0.3025833333333333,0,-1.6666666666666679,-0.9,-4.04,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.7295575540864875,-0.6839194216246106,0,1.0,0,0.0,0,LOW
